Subah sadiq,,Tulu Aftab,,Zawal,,Asr 1,,Asr 2,,Magrib,,Isha,,Month,Date
5,56,7,15,12,46,3,54,4,41,6,17,7,35,Feb,1
5,56,7,15,12,46,3,54,4,42,6,17,7,36,Feb,2
5,56,7,14,12,46,3,55,4,42,6,18,7,36,Feb,3
5,55,7,14,12,46,3,55,4,42,6,18,7,36,Feb,4
5,55,7,14,12,46,3,56,4,43,6,19,7,37,Feb,5
5,54,7,13,12,46,3,56,4,44,6,20,7,38,Feb,6
5,54,7,12,12,46,3,57,4,44,6,21,7,39,Feb,7
5,53,7,12,12,46,3,57,4,45,6,21,7,39,Feb,8
5,53,7,11,12,46,3,58,4,46,6,22,7,40,Feb,9
5,52,7,10,12,46,3,58,4,46,6,23,7,40,Feb,10
5,52,7,10,12,46,3,59,4,47,6,23,7,41,Feb,11
5,51,7,9,12,46,3,59,4,47,6,24,7,41,Feb,12
5,51,7,8,12,46,4,0,4,48,6,25,7,42,Feb,13
5,50,7,8,12,46,4,0,4,49,6,26,7,43,Feb,14
5,50,7,7,12,46,4,1,4,49,6,26,7,43,Feb,15
5,49,7,6,12,46,4,1,4,50,6,27,7,44,Feb,16
5,48,7,5,12,46,4,2,4,50,6,27,7,44,Feb,17
5,47,7,5,12,46,4,2,4,51,6,28,7,45,Feb,18
5,47,7,4,12,46,4,2,4,51,6,29,7,45,Feb,19
5,46,7,3,12,46,4,3,4,52,6,30,7,46,Feb,20
5,45,7,2,12,46,4,3,4,52,6,30,7,46,Feb,21
5,44,7,1,12,46,4,3,4,53,6,31,7,47,Feb,22
5,44,7,0,12,46,4,3,4,53,6,31,7,47,Feb,23
5,43,6,59,12,45,4,4,4,54,6,32,7,48,Feb,24
5,42,6,59,12,45,4,4,4,54,6,32,7,48,Feb,25
5,42,6,58,12,45,4,4,4,55,6,33,7,49,Feb,26
5,41,6,57,12,45,4,4,4,56,6,33,7,49,Feb,27
5,40,6,56,12,45,4,5,4,56,6,33,7,50,Feb,28
5,39,6,56,12,45,4,5,4,57,6,34,7,50,Feb,29
5,38,6,55,12,44,4,5,4,57,6,34,7,50,March,1
5,37,6,54,12,44,4,5,4,57,6,35,7,50,March,2
5,37,6,53,12,44,4,5,4,57,6,35,7,51,March,3
5,36,6,52,12,44,4,5,4,57,6,36,7,52,March,4
5,35,6,51,12,44,4,5,4,58,6,36,7,52,March,5
5,34,6,50,12,43,4,5,4,59,6,37,7,53,March,6
5,33,6,49,12,43,4,5,4,59,6,37,7,53,March,7
5,32,6,48,12,43,4,5,4,59,6,38,7,54,March,8
5,31,6,47,12,43,4,6,4,59,6,38,7,54,March,9
5,30,6,46,12,42,4,6,5,0,6,39,7,55,March,10
5,29,6,45,12,42,4,6,5,0,6,39,7,55,March,11
5,28,6,44,12,42,4,6,5,0,6,40,7,56,March,12
5,27,6,43,12,41,4,6,5,0,6,40,7,56,March,13
5,26,6,42,12,41,4,6,5,0,6,41,7,56,March,14
5,25,6,41,12,41,4,6,5,1,6,41,7,57,March,15
5,24,6,40,12,41,4,6,5,1,6,42,7,57,March,16
5,23,6,39,12,40,4,6,5,1,6,42,7,58,March,17
5,22,6,38,12,40,4,6,5,1,6,42,7,58,March,18
5,21,6,37,12,40,4,6,5,1,6,43,7,59,March,19
5,20,6,36,12,39,4,6,5,2,6,43,7,59,March,20
5,19,6,35,12,39,4,5,5,2,6,44,8,0,March,21
5,18,6,34,12,39,4,5,5,2,6,44,8,0,March,22
5,17,6,33,12,39,4,5,5,2,6,45,8,0,March,23
5,16,6,32,12,38,4,5,5,2,6,45,8,1,March,24
5,15,6,31,12,38,4,5,5,3,6,45,8,2,March,25
5,13,6,30,12,38,4,5,5,3,6,46,8,3,March,26
5,12,6,29,12,37,4,5,5,3,6,46,8,3,March,27
5,11,6,28,12,37,4,5,5,3,6,47,8,4,March,28
5,10,6,27,12,37,4,4,5,3,6,47,8,4,March,29
5,9,6,26,12,37,4,4,5,3,6,47,8,5,March,30
5,8,6,25,12,36,4,4,5,3,6,48,8,5,March,31
5,7,6,24,12,36,4,4,5,4,6,48,8,8,April,1
5,6,6,23,12,36,4,4,5,4,6,48,8,6,April,2
5,4,6,22,12,35,4,4,5,4,6,49,8,6,April,3
5,3,6,21,12,35,4,3,5,4,6,49,8,7,April,4
5,2,6,20,12,35,4,3,5,4,6,50,8,8,April,5
5,1,6,19,12,34,4,3,5,4,6,50,8,8,April,6
5,0,6,18,12,34,4,3,5,4,6,51,8,9,April,7
4,59,6,17,12,34,4,2,5,5,6,51,8,9,April,8
4,58,6,16,12,34,4,2,5,5,6,52,8,10,April,9
4,57,6,15,12,33,4,2,5,5,6,52,8,10,April,10
4,56,6,14,12,33,4,2,5,5,6,52,8,11,April,11
4,54,6,13,12,33,4,1,5,5,6,53,8,11,April,12
4,53,6,11,12,32,4,1,5,5,6,53,8,12,April,13
4,52,6,11,12,32,4,1,5,5,6,54,8,12,April,14
4,51,6,10,12,32,4,1,5,5,6,54,8,13,April,15
4,50,6,9,12,32,4,1,5,5,6,55,8,14,April,16
4,49,6,8,12,32,4,0,5,5,6,55,8,14,April,17
4,48,6,8,12,31,4,0,5,5,6,56,8,15,April,18
4,47,6,6,12,31,4,0,5,5,6,56,8,16,April,19
4,46,6,5,12,31,4,0,5,6,6,57,8,16,April,20
4,45,6,4,12,31,3,59,5,6,6,57,8,17,April,21
4,44,6,3,12,31,3,59,5,6,6,58,8,17,April,22
4,43,6,3,12,30,3,59,5,6,6,58,8,18,April,23
4,41,6,2,12,30,3,59,5,6,6,58,8,19,April,24
4,40,6,1,12,30,3,58,5,6,6,59,8,19,April,25
4,39,6,1,12,30,3,58,5,6,6,59,8,20,April,26
4,39,6,0,12,30,3,58,5,7,7,0,8,21,April,27
4,38,5,59,12,29,3,57,5,7,7,1,8,21,April,28
4,37,5,58,12,29,3,57,5,7,7,1,8,22,April,29
4,36,5,57,12,29,3,57,5,7,7,2,8,22,April,30
4,15,5,42,12,30,3,52,5,13,7,17,8,45,June,1
4,14,5,42,12,30,3,52,5,13,7,18,8,45,June,2
4,14,5,42,12,30,3,52,5,13,7,18,8,46,June,3
4,14,5,42,12,30,3,52,5,13,7,19,8,46,June,4
4,14,5,42,12,30,3,53,5,13,7,19,8,47,June,5
4,13,5,41,12,30,3,53,5,13,7,20,8,48,June,6
4,13,5,41,12,31,3,53,5,14,7,20,8,48,June,7
4,13,5,41,12,31,3,53,5,14,7,21,8,49,June,8
4,13,5,41,12,31,3,53,5,14,7,21,8,49,June,9
4,13,5,41,12,31,3,53,5,14,7,21,8,50,June,10
4,13,5,41,12,32,3,53,5,14,7,22,8,50,June,11
4,13,5,41,12,32,3,53,5,15,7,22,8,51,June,12
4,13,5,41,12,32,3,53,5,15,7,23,8,51,June,13
4,13,5,41,12,32,3,53,5,15,7,23,8,52,June,14
4,13,5,41,12,32,3,54,5,15,7,23,8,52,June,15
4,13,5,41,12,33,3,54,5,15,7,23,8,52,June,16
4,13,5,41,12,33,3,54,5,16,7,24,8,52,June,17
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,18
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,19
4,13,5,42,12,33,3,54,5,16,7,24,8,53,June,20
4,14,5,42,12,34,3,55,5,17,7,25,8,53,June,21
4,14,5,42,12,34,3,55,5,17,7,25,8,54,June,22
4,14,5,43,12,34,3,55,5,17,7,25,8,54,June,23
4,14,5,43,12,34,3,55,5,17,7,25,8,54,June,24
4,15,5,43,12,35,3,56,5,18,7,26,8,54,June,25
4,15,5,43,12,35,3,56,5,18,7,26,8,54,June,26
4,15,5,44,12,35,3,56,5,18,7,26,8,54,June,27
4,15,5,44,12,35,3,56,5,18,7,26,8,55,June,28
4,16,5,44,12,35,3,57,5,18,7,26,8,55,June,29
4,16,5,45,12,35,3,57,5,18,7,26,8,55,June,30
4,35,5,56,12,29,3,57,5,7,7,2,8,24,May,1
4,34,5,56,12,29,3,57,5,7,7,2,8,24,May,2
4,33,5,55,12,29,3,56,5,8,7,3,8,25,May,3
4,32,5,54,12,29,3,56,5,8,7,4,8,26,May,4
4,31,5,54,12,29,3,56,5,8,7,4,8,26,May,5
4,30,5,53,12,29,3,56,5,8,7,5,8,27,May,6
4,29,5,52,12,28,3,55,5,8,7,5,8,28,May,7
4,28,5,52,12,28,3,55,5,8,7,5,8,28,May,8
4,28,5,51,12,28,3,55,5,8,7,6,8,29,May,9
4,27,5,50,12,28,3,55,5,8,7,7,8,30,May,10
4,26,5,50,12,28,3,55,5,8,7,7,8,31,May,11
4,25,5,50,12,28,3,54,5,8,7,8,8,31,May,12
4,25,5,49,12,28,3,54,5,8,7,8,8,32,May,13
4,24,5,49,12,28,3,54,5,8,7,8,8,33,May,14
4,23,5,48,12,28,3,54,5,8,7,9,8,34,May,15
4,22,5,47,12,28,3,53,5,8,7,9,8,35,May,16
4,22,5,47,12,28,3,53,5,8,7,10,8,35,May,17
4,21,5,46,12,28,3,53,5,9,7,11,8,36,May,18
4,20,5,45,12,28,3,53,5,9,7,11,8,36,May,19
4,20,5,45,12,28,3,53,5,9,7,12,8,37,May,20
4,19,5,45,12,29,3,53,5,9,7,12,8,38,May,21
4,19,5,45,12,29,3,53,5,9,7,13,8,39,May,22
4,18,5,44,12,29,3,53,5,10,7,13,8,39,May,23
4,18,5,44,12,29,3,53,5,10,7,14,8,40,May,24
4,17,5,44,12,29,3,53,5,10,7,14,8,40,May,25
4,17,5,43,12,29,3,52,5,11,7,15,8,41,May,26
4,16,5,43,12,29,3,52,5,11,7,15,8,42,May,27
4,16,5,43,12,29,3,52,5,11,7,16,8,43,May,28
4,15,5,42,12,29,3,52,5,12,7,16,8,43,May,29
4,15,5,42,12,29,3,52,5,12,7,17,8,44,May,30
4,15,5,42,12,30,3,52,5,12,7,17,8,44,May,31
5,22,6,39,12,16,3,28,4,16,5,52,7,9,Nov,1
5,22,6,40,12,16,3,28,4,16,5,52,7,8,Nov,2
5,23,6,40,12,16,3,27,4,16,5,51,7,8,Nov,3
5,23,6,41,12,16,3,27,4,15,5,51,7,8,Nov,4
5,24,6,41,12,16,3,26,4,14,5,50,7,7,Nov,5
5,24,6,42,12,1,3,26,4,14,5,49,7,7,Nov,6
5,25,6,43,12,1,3,25,4,13,5,48,7,6,Nov,7
5,26,6,44,12,1,3,25,4,13,5,48,7,6,Nov,8
5,26,6,44,12,1,3,24,4,12,5,47,7,5,Nov,9
5,26,6,45,12,1,3,24,4,11,5,47,7,5,Nov,10
5,27,6,45,12,1,3,24,4,11,5,46,7,5,Nov,11
5,27,6,46,12,1,3,23,4,10,5,46,7,5,Nov,12
5,28,6,47,12,1,3,23,4,9,5,45,7,4,Nov,13
5,29,6,48,12,1,3,23,4,9,5,45,7,4,Nov,14
5,29,6,49,12,17,3,22,4,9,5,44,7,4,Nov,15
5,30,6,49,12,17,3,22,4,8,5,44,7,3,Nov,16
5,30,6,50,12,17,3,22,4,8,5,44,7,3,Nov,17
5,31,6,50,12,17,3,22,4,7,5,44,7,3,Nov,18
5,32,6,51,12,17,3,22,4,7,5,43,7,3,Nov,19
5,32,6,52,12,18,3,22,4,7,5,43,7,3,Nov,20
5,33,6,53,12,18,3,22,4,7,5,43,7,3,Nov,21
5,33,6,53,12,18,3,22,4,7,5,43,7,3,Nov,22
5,34,6,54,12,18,3,22,4,7,5,43,7,3,Nov,23
5,35,6,55,12,19,3,22,4,7,5,42,7,3,Nov,24
5,35,6,56,12,19,3,22,4,7,5,42,7,3,Nov,25
5,36,6,56,12,19,3,22,4,7,5,42,7,3,Nov,26
5,36,6,57,12,20,3,22,4,6,5,42,7,3,Nov,27
5,37,6,57,12,20,3,22,4,6,5,42,7,3,Nov,28
5,38,6,58,12,20,3,22,4,6,5,42,7,3,Nov,29
5,38,6,59,12,21,3,22,4,6,5,42,7,3,Nov,30
5,55,7,17,12,35,3,34,4,19,5,54,7,15,Jan,1
5,56,7,17,12,36,3,35,4,19,5,55,7,16,Jan,2
5,57,7,17,12,36,3,36,4,19,5,55,7,17,Jan,3
5,57,7,18,12,37,3,37,4,20,5,56,7,17,Jan,4
5,57,7,18,12,37,3,37,4,21,5,57,7,18,Jan,5
5,57,7,18,12,38,3,38,4,22,5,57,7,19,Jan,6
5,57,7,18,12,38,3,38,4,22,5,58,7,19,Jan,7
5,57,7,18,12,38,3,39,4,22,5,59,7,20,Jan,8
5,58,7,18,12,39,3,40,4,24,6,0,7,21,Jan,9
5,58,7,18,12,39,3,40,4,24,6,0,7,21,Jan,10
5,58,7,18,12,40,3,41,4,25,6,1,7,22,Jan,11
5,58,7,18,12,40,3,41,4,26,6,1,7,23,Jan,12
5,58,7,19,12,41,3,42,4,27,6,2,7,23,Jan,13
5,58,7,19,12,41,3,43,4,28,6,3,7,24,Jan,14
5,58,7,19,12,41,3,44,4,28,6,4,7,24,Jan,15
5,58,7,19,12,42,3,44,4,29,6,5,7,25,Jan,16
5,58,7,19,12,42,3,45,4,30,6,6,7,26,Jan,17
5,58,7,19,12,42,3,46,4,31,6,6,7,26,Jan,18
5,58,7,19,12,43,3,46,4,32,6,7,7,27,Jan,19
5,58,7,18,12,43,3,47,4,33,6,8,7,27,Jan,20
5,58,7,18,12,43,3,48,4,33,6,8,7,28,Jan,21
5,58,7,18,12,43,3,48,4,34,6,9,7,29,Jan,22
5,58,7,18,12,44,3,49,4,35,6,10,7,29,Jan,23
5,58,7,18,12,44,3,49,4,35,6,11,7,30,Jan,24
5,58,7,17,12,44,3,50,4,36,6,11,7,31,Jan,25
5,58,7,17,12,44,3,50,4,36,6,12,7,32,Jan,26
5,57,7,17,12,45,3,51,4,37,6,13,7,32,Jan,27
5,57,7,17,12,45,3,52,4,37,6,14,7,33,Jan,28
5,57,7,16,12,45,3,53,4,38,6,15,7,33,Jan,29
5,57,7,16,12,45,3,53,4,39,6,15,7,34,Jan,30
5,57,7,15,12,45,3,54,4,40,6,16,7,35,Jan,31
4,54,6,12,12,32,4,1,5,3,6,52,8,9,Sep,1
4,55,6,13,12,32,4,1,5,3,6,50,8,8,Sep,2
4,55,6,13,12,31,4,0,5,2,6,49,8,7,Sep,3
4,56,6,14,12,31,4,0,5,2,6,48,8,6,Sep,4
4,56,6,14,12,31,3,59,5,1,6,47,8,5,Sep,5
4,57,6,15,12,30,3,59,5,0,6,46,8,4,Sep,6
4,57,6,15,12,30,3,58,5,0,6,45,8,2,Sep,7
4,58,6,15,12,30,3,58,4,59,6,44,8,1,Sep,8
4,58,6,16,12,29,3,58,4,58,6,43,8,0,Sep,9
4,59,6,16,12,29,3,58,4,57,6,42,7,59,Sep,10
4,59,6,16,12,29,3,57,4,57,6,41,7,58,Sep,11
5,0,6,17,12,28,3,57,4,56,6,40,7,57,Sep,12
5,0,6,17,12,28,3,56,4,55,6,39,7,56,Sep,13
5,1,6,17,12,27,3,56,4,54,6,38,7,54,Sep,14
5,1,6,18,12,27,3,55,4,53,6,37,7,53,Sep,15
5,2,6,18,12,27,3,55,4,53,6,36,7,51,Sep,16
5,2,6,18,12,26,3,54,4,52,6,35,7,50,Sep,17
5,3,6,19,12,26,3,54,4,51,6,34,7,49,Sep,18
5,3,6,19,12,26,3,53,4,50,6,33,7,48,Sep,19
5,4,6,19,12,25,3,53,4,49,6,32,7,47,Sep,20
5,4,6,20,12,25,3,51,4,48,6,31,7,46,Sep,21
5,4,6,20,12,25,3,50,4,47,6,30,7,45,Sep,22
5,5,6,20,12,24,3,50,4,46,6,29,7,44,Sep,23
5,5,6,21,12,24,3,49,4,46,6,28,7,43,Sep,24
5,5,6,21,12,24,3,49,4,45,6,27,7,43,Sep,25
5,6,6,22,12,23,3,49,4,44,6,26,7,42,Sep,26
5,6,6,22,12,23,3,48,4,43,6,25,7,40,Sep,27
5,7,6,22,12,23,3,48,4,42,6,23,7,39,Sep,28
5,7,6,23,12,22,3,47,4,41,6,22,7,38,Sep,29
5,8,6,23,12,22,3,46,4,40,6,22,7,36,Sep,30
5,39,7,0,12,21,3,22,4,6,5,42,7,3,Dec,1
5,40,7,1,12,22,3,22,4,7,5,42,7,3,Dec,2
5,40,7,1,12,22,3,22,4,7,5,42,7,3,Dec,3
5,41,7,2,12,22,3,22,4,7,5,42,7,3,Dec,4
5,41,7,3,12,23,3,22,4,7,5,42,7,3,Dec,5
5,42,7,3,12,23,3,22,4,7,5,43,7,4,Dec,6
5,43,7,4,12,24,3,23,4,7,5,43,7,4,Dec,7
5,43,7,5,12,24,3,23,4,8,5,43,7,4,Dec,8
5,44,7,5,12,24,3,23,4,8,5,44,7,4,Dec,9
5,44,7,6,12,25,3,24,4,9,5,44,7,5,Dec,10
5,45,7,7,12,25,3,24,4,9,5,44,7,5,Dec,11
5,46,7,7,12,26,3,24,4,9,5,44,7,5,Dec,12
5,46,7,8,12,26,3,25,4,9,5,44,7,6,Dec,13
5,47,7,8,12,27,3,25,4,9,5,45,7,7,Dec,14
5,47,7,9,12,27,3,25,4,9,5,45,7,7,Dec,15
5,48,7,10,12,28,3,25,4,9,5,45,7,7,Dec,16
5,48,7,10,12,28,3,26,4,10,5,46,7,8,Dec,17
5,49,7,11,12,29,3,27,4,10,5,46,7,8,Dec,18
5,49,7,11,12,29,3,27,4,11,5,46,7,9,Dec,19
5,50,7,12,12,30,3,28,4,12,5,47,7,9,Dec,20
5,50,7,13,12,30,3,28,4,12,5,48,7,9,Dec,21
5,51,7,13,12,31,3,29,4,12,5,48,7,9,Dec,22
5,52,7,13,12,31,3,29,4,13,5,48,7,10,Dec,23
5,52,7,14,12,32,3,30,4,13,5,49,7,11,Dec,24
5,52,7,14,12,32,3,30,4,14,5,49,7,12,Dec,25
5,53,7,15,12,33,3,31,4,14,5,50,7,12,Dec,26
5,53,7,15,12,33,3,31,4,15,5,51,7,13,Dec,27
5,54,7,16,12,34,3,32,4,16,5,51,7,14,Dec,28
5,54,7,16,12,34,3,32,4,17,5,52,7,14,Dec,29
5,55,7,16,12,35,3,33,4,18,5,53,7,14,Dec,30
5,55,7,17,12,35,3,34,4,19,5,53,7,15,Dec,31
5,8,6,24,12,22,3,46,4,39,6,20,7,35,Oct,1
5,8,6,24,12,21,3,45,4,39,6,19,7,34,Oct,2
5,9,6,25,12,21,3,44,4,38,6,18,7,33,Oct,3
5,9,6,25,12,21,3,43,4,37,6,17,7,32,Oct,4
5,10,6,25,12,20,3,43,4,36,6,16,7,31,Oct,5
5,10,6,26,12,20,3,42,4,35,6,15,7,30,Oct,6
5,10,6,26,12,20,3,42,4,34,6,14,7,29,Oct,7
5,11,6,27,12,20,3,42,4,34,6,13,7,28,Oct,8
5,11,6,27,12,19,3,41,4,33,6,12,7,27,Oct,9
5,12,6,27,12,19,3,40,4,32,6,11,7,26,Oct,10
5,12,6,28,12,19,3,39,4,32,6,10,7,25,Oct,11
5,13,6,28,12,18,3,39,4,31,6,9,7,24,Oct,12
5,13,6,29,12,18,3,38,4,30,6,8,7,23,Oct,13
5,14,6,29,12,18,3,38,4,29,6,7,7,22,Oct,14
5,14,6,29,12,18,3,37,4,28,6,6,7,21,Oct,15
5,15,6,30,12,18,3,37,4,28,6,5,7,20,Oct,16
5,15,6,31,12,17,3,36,4,27,6,4,7,20,Oct,17
5,15,6,31,12,17,3,35,4,27,6,3,7,19,Oct,18
5,16,6,32,12,17,3,35,4,26,6,2,7,18,Oct,19
5,16,6,32,12,17,3,34,4,25,6,2,7,18,Oct,20
5,16,6,33,12,17,3,33,4,24,6,1,7,17,Oct,21
5,17,6,33,12,16,3,33,4,23,6,0,7,16,Oct,22
5,17,6,34,12,16,3,32,4,22,5,59,7,15,Oct,23
5,17,6,34,12,16,3,31,4,21,5,58,7,15,Oct,24
5,18,6,35,12,16,3,31,4,20,5,57,7,14,Oct,25
5,19,6,36,12,16,3,31,4,19,5,57,7,13,Oct,26
5,19,6,36,12,16,3,30,4,19,5,56,7,12,Oct,27
5,20,6,37,12,16,3,30,4,19,5,55,7,12,Oct,28
5,20,6,37,12,16,3,29,4,18,5,54,7,11,Oct,29
5,21,6,38,12,16,3,29,4,18,5,54,7,10,Oct,30
5,21,6,38,12,16,3,28,4,17,5,53,7,10,Oct,31
4,17,5,45,12,36,3,57,5,18,7,26,8,55,Jul,1
4,17,5,45,12,36,3,58,5,18,7,26,8,55,Jul,2
4,18,5,46,12,36,3,58,5,18,7,26,8,55,Jul,3
4,18,5,46,12,36,3,58,5,18,7,26,8,55,Jul,4
4,18,5,46,12,36,3,58,5,19,7,26,8,54,Jul,5
4,19,5,47,12,37,3,59,5,19,7,26,8,54,Jul,6
4,20,5,47,12,37,3,59,5,19,7,26,8,54,Jul,7
4,21,5,48,12,37,3,59,5,19,7,25,8,54,Jul,8
4,21,5,48,12,37,4,0,5,19,7,25,8,53,Jul,9
4,21,5,49,12,37,4,0,5,19,7,25,8,53,Jul,10
4,22,5,49,12,37,4,0,5,19,7,25,8,53,Jul,11
4,22,5,50,12,38,4,1,5,20,7,25,8,53,Jul,12
4,23,5,50,12,38,4,1,5,20,7,25,8,52,Jul,13
4,24,5,50,12,38,4,1,5,20,7,25,8,52,Jul,14
4,24,5,51,12,38,4,1,5,20,7,25,8,51,Jul,15
4,25,5,51,12,38,4,2,5,20,7,24,8,51,Jul,16
4,25,5,52,12,38,4,2,5,20,7,24,8,51,Jul,17
4,26,5,52,12,38,4,2,5,20,7,24,8,50,Jul,18
4,27,5,53,12,38,4,2,5,20,7,23,8,49,Jul,19
4,28,5,53,12,38,4,2,5,20,7,23,8,49,Jul,20
4,28,5,54,12,38,4,3,5,20,7,22,8,48,Jul,21
4,29,5,54,12,38,4,3,5,19,7,22,8,48,Jul,22
4,29,5,55,12,38,4,3,5,19,7,22,8,48,Jul,23
4,30,5,55,12,38,4,3,5,19,7,21,8,47,Jul,24
4,31,5,55,12,38,4,3,5,19,7,21,8,46,Jul,25
4,31,5,56,12,38,4,4,5,19,7,21,8,45,Jul,26
4,32,5,56,12,38,4,4,5,19,7,20,8,44,Jul,27
4,32,5,57,12,38,4,4,5,18,7,19,8,43,Jul,28
4,33,5,57,12,38,4,4,5,18,7,19,8,43,Jul,29
4,34,5,58,12,38,4,4,5,18,7,19,8,42,Jul,30
4,35,5,58,12,38,4,4,5,18,7,19,8,42,Jul,31
4,35,5,59,12,38,4,4,5,18,7,17,8,41,Aug,1
4,36,5,59,12,38,4,4,5,18,7,17,8,40,Aug,2
4,37,6,0,12,38,4,5,5,18,7,16,8,39,Aug,3
4,37,6,0,12,38,4,5,5,17,7,16,8,38,Aug,4
4,38,6,1,12,38,4,5,5,17,7,15,8,37,Aug,5
4,38,6,1,12,38,4,5,5,17,7,14,8,37,Aug,6
4,39,6,2,12,38,4,5,5,17,7,13,8,36,Aug,7
4,40,6,2,12,38,4,5,5,16,7,13,8,35,Aug,8
4,41,6,3,12,37,4,5,5,16,7,12,8,34,Aug,9
4,42,6,3,12,37,4,5,5,15,7,11,8,33,Aug,10
4,42,6,4,12,37,4,5,5,15,7,11,8,32,Aug,11
4,43,6,4,12,37,4,5,5,14,7,10,8,31,Aug,12
4,44,6,5,12,37,4,5,5,14,7,9,8,30,Aug,13
4,44,6,5,12,37,4,5,5,14,7,8,8,29,Aug,14
4,45,6,6,12,36,4,5,5,13,7,7,8,28,Aug,15
4,45,6,6,12,36,4,5,5,13,7,6,8,27,Aug,16
4,46,6,6,12,36,4,4,5,12,7,6,8,26,Aug,17
4,46,6,7,12,36,4,4,5,11,7,5,8,25,Aug,18
4,47,6,7,12,36,4,4,5,11,7,4,8,24,Aug,19
4,48,6,7,12,35,4,4,5,10,7,3,8,23,Aug,20
4,48,6,8,12,35,4,4,5,10,7,2,8,22,Aug,21
4,49,6,9,12,35,4,3,5,9,7,1,8,21,Aug,22
4,49,6,9,12,35,4,3,5,9,7,0,8,20,Aug,23
4,50,6,9,12,34,4,3,5,8,7,0,8,19,Aug,24
4,51,6,10,12,34,4,3,5,8,6,59,8,17,Aug,25
4,51,6,10,12,34,4,3,5,7,6,58,8,16,Aug,26
4,52,6,10,12,33,4,2,5,6,6,57,8,15,Aug,27
4,52,6,11,12,33,4,2,5,6,6,56,8,14,Aug,28
4,53,6,11,12,33,4,2,5,5,6,55,8,13,Aug,29
4,54,6,12,12,33,4,1,5,5,6,54,8,11,Aug,30
4,54,6,12,12,32,4,1,5,4,6,53,8,10,Aug,31
